Item Code,Brand,Category Name,Sub Category Name,UPCItem,UPCCase,Item Description,Size,Store Pack,ADV_Brand,ADV_Category,ADV_SubCategory,ADV_ItemDescrip,ADV_ItemUPC,ADV_CaseUPC10,ADV_Size,ADV_StorePack,RptLvlFilter
858852,MCCORMICK,"SALT, SEASONINGS, SPICES",EXTRACTS,5210001148,5210001148,IMITATION VANILLA,8 OZ,24,MCCORMICK,"SALT, SEASONINGS, SPICES",EXTRACTS,IMITATION VANILLA,5210001148,5210001148,8 OZ,24,INCLUDE
858894,MCCORMICK,"SALT, SEASONINGS, SPICES",EXTRACTS,5210007084,5210054723,STRAWBERRY EXTRACT,1 OZ,6,MCCORMICK,"SALT, SEASONINGS, SPICES",EXTRACTS,STRAWBERRY EXTRACT,5210007084,5210054723,1 OZ,null,INCLUDE
858902,MCCORMICK,"SALT, SEASONINGS, SPICES",EXTRACTS,5210007096,5210054729,LEMON EXTRACT,2 OZ,6,MCCORMICK,"SALT, SEASONINGS, SPICES",EXTRACTS,LEMON EXTRACT,null,5210054729,null,6,INCLUDE
858928,MCCORMICK,"SALT, SEASONINGS, SPICES",EXTRACTS,5210007101,5210054732,CAKE BATTER ARTIFICAL FLAVOR,2 OZ,6,null,"SALT, SEASONINGS, SPICES",EXTRACTS,null,5210007101,5210054732,2 OZ,6,INCLUDE
859033,MCCORMICK,"SALT, SEASONINGS, SPICES",DRY SEASONING MIX,5210009030,5210009030,TURKEY GRAVY MIX,.87OZ,24,MCCORMICK,"SALT, SEASONINGS, SPICES",DRY SEASONING MIX,TURKEY GRAVY MIX,5210009030,5210009030,.87OZ,null,INCLUDE
859041,MCCORMICK,"SALT, SEASONINGS, SPICES",DRY SEASONING MIX,5210009150,5210009150,ORIGINAL CHILI SEASONING MIX,1.25OZ,24,MCCORMICK,"SALT, SEASONINGS, SPICES",DRY SEASONING MIX,ORIGINAL CHILI SEASONING MIX,5210009150,5210009150,null,24,INCLUDE
859074,MCCORMICK,"SALT, SEASONINGS, SPICES",DRY SEASONING MIX,0,5210012498,BROWN GRAVY SHIPPER,.87 OZ,384,MCCORMICK,"SALT, SEASONINGS, SPICES",DRY SEASONING MIX,BROWN GRAVY SHIPPER,null,null,.87 OZ,384,INCLUDE
868778,BEST CHOICE,"SALT, SEASONINGS, SPICES",SPICES & SEASONINGS,7003830303,7003830303,GROUND SAGE,1.37 OZ,12,BEST CHOICE,"SALT, SEASONINGS, SPICES",null,GROUND SAGE,null,null,1.37 OZ,null,EXCLUDE
870584,BEST CHOICE,"SALT, SEASONINGS, SPICES",DRY SEASONING MIX,7003862631,7003862631,MEATLOAF SEASONING MIX,1.50 OZ,24,BEST CHOICE,null,DRY SEASONING MIX,MEATLOAF SEASONING MIX,7003862631,7003862631,1.50 OZ,null,EXCLUDE
887959,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002014,5210002014,ADOBO WITH OUT PEPPER,5.37 OZ,1,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,null,null,5210002014,5.37 OZ,null,INCLUDE
887960,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210001980,5210001980,IMITATION BACON BITS,2 OZ,1,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,IMITATION BACON BITS,5210001980,5210001980,2 OZ,1,INCLUDE
887961,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002015,5210002015,BASIL LEAVES,0.75 OZ,12,SPICE CLASSICS,null,DOLLAR SPICES,BASIL LEAVES,null,5210002015,0.75 OZ,12,INCLUDE
887962,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002009,5210002009,BAY LEAVES,0.16 OZ,1,null,DOLLAR ITEMS,DOLLAR SPICES,BAY LEAVES,5210002009,null,0.16 OZ,1,INCLUDE
887963,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002016,5210002016,CAJUN SEASONING,4 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,CAJUN SEASONING,5210002016,null,4 OZ,null,INCLUDE
887964,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002017,5210002017,CELERY SALT,4 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,CELERY SALT,null,5210002017,4 OZ,null,INCLUDE
887965,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002018,5210002018,CELERY SEED,2.37 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,CELERY SEED,5210002018,5210002018,null,12,INCLUDE
887966,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002019,5210002019,CHICKEN SEASONING SALT,4.5 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,CHICKEN SEASONING SALT,5210002019,5210002019,4.5 OZ,12,INCLUDE
887967,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002020,5210002020,CHILI POWDER,2.87 OZ,12,SPICE CLASSICS,null,DOLLAR SPICES,null,5210002020,5210002020,2.87 OZ,null,INCLUDE
887969,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210001993,5210001993,CHIVES,0.3 OZ,1,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,CHIVES,5210001993,5210001993,null,1,INCLUDE
887971,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210003041,5210003041,GROUND BLACK PEPPER,1.87 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,GROUND BLACK PEPPER,5210003041,null,1.87 OZ,12,INCLUDE
887972,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002022,5210002022,GROUND CINNAMON,2.37 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,GROUND CINNAMON,null,null,2.37 OZ,12,INCLUDE
887973,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210001994,5210001994,CINNAMON STICK,1.50 OZ,12,SPICE CLASSICS,null,DOLLAR SPICES,CINNAMON STICK,5210001994,5210001994,1.50 OZ,12,INCLUDE
887974,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002023,5210002023,DILL WEED,0.87 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,DILL WEED,5210002023,null,0.87 OZ,12,INCLUDE
887985,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002025,5210002025,GARLIC AND PEPPER,4.87 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,GARLIC AND PEPPER,5210002025,5210002025,4.87 OZ,12,INCLUDE
887986,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210003799,5210003799,GARLIC POWDER,1.62OZ,12,null,DOLLAR ITEMS,DOLLAR SPICES,GARLIC POWDER,null,5210003799,null,12,INCLUDE
887987,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002024,5210002024,GARLIC SALT,5.7 OZ,12,SPICE CLASSICS,null,DOLLAR SPICES,GARLIC SALT,5210002024,5210002024,5.7 OZ,12,INCLUDE
887988,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002026,5210002026,ITALIAN SEASONING,0.87 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,ITALIAN SEASONING,5210002026,5210002026,0.87 OZ,null,INCLUDE
887989,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002027,5210002027,LEMON AND PEPPER SEASONING SALT,3.75 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,LEMON AND PEPPER SEASONING SALT,null,null,3.75 OZ,12,INCLUDE
887990,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002028,5210002028,SEASONED MEAT TENDERIZER,5.25 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,null,SEASONED MEAT TENDERIZER,null,5210002028,null,12,INCLUDE
887991,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002074,5210002074,CHOPPED ONION,1.75 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,CHOPPED ONION,5210002074,5210002074,null,12,INCLUDE
887993,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002029,5210002029,ONION POWDER,2.62 OZ,12,null,DOLLAR ITEMS,DOLLAR SPICES,ONION POWDER,null,5210002029,null,12,INCLUDE
887994,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002030,5210002030,ONION SALT,5.5 OZ,12,null,DOLLAR ITEMS,DOLLAR SPICES,ONION SALT,null,5210002030,5.5 OZ,null,INCLUDE
887995,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002031,5210002031,WHOLE OREGANO LEAVES,0.87 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,WHOLE OREGANO LEAVES,5210002031,5210002031,0.87 OZ,12,INCLUDE
887996,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002032,5210002032,PAPRIKA,2.50 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,PAPRIKA,5210002032,5210002032,2.50 OZ,12,INCLUDE
887997,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002033,5210002033,PARSLEY FLAKES,0.4 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,PARSLEY FLAKES,null,5210002033,0.4 OZ,null,INCLUDE
887998,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002034,5210002034,POULTRY SEASONING,2.37 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,POULTRY SEASONING,5210002034,5210002034,2.37 OZ,12,INCLUDE
887999,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002036,5210002036,CRUSHED RED PEPPER,1.75 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,CRUSHED RED PEPPER,5210002036,5210002036,1.75 OZ,12,INCLUDE
888006,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002035,5210002035,GROUND RED PEPPER,2.37 OZ,12,SPICE CLASSICS,null,DOLLAR SPICES,null,5210002035,5210002035,2.37 OZ,12,INCLUDE
888067,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210000819,5210000819,ROSEMARY LEAVES,1.37 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,ROSEMARY LEAVES,5210000819,5210000819,1.37 OZ,12,INCLUDE
888068,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002037,5210002037,GROUND SAGE,1.37 OZ,12,null,DOLLAR ITEMS,DOLLAR SPICES,GROUND SAGE,null,null,1.37 OZ,null,INCLUDE
888069,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002038,5210002038,SEASONED SALT,4.75 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,SEASONED SALT,5210002038,5210002038,4.75 OZ,12,INCLUDE
888070,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002039,5210002039,SOUL FOOD SEASONING SALT,5.12 OZ,12,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,null,null,null,5.12 OZ,null,INCLUDE
888071,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR SPICES,5210002040,5210002040,STEAK SEASONING SALT,4.75 OZ,12,null,DOLLAR ITEMS,DOLLAR SPICES,STEAK SEASONING SALT,5210002040,5210002040,4.75 OZ,12,INCLUDE
888072,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR BAKING,5210000827,5210054800,IMITATION ALMOND EXTRACT,1 OZ,1,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR BAKING,IMITATION ALMOND EXTRACT,5210000827,5210054800,1 OZ,null,INCLUDE
888074,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR BAKING,5210000987,5210054802,PURE LEMON EXTRACT,2 OZ,1,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR BAKING,PURE LEMON EXTRACT,5210000987,null,2 OZ,1,INCLUDE
888075,SPICE CLASSICS,DOLLAR ITEMS,DOLLAR BAKING,5210000869,5210010002,IMITATION VANILLA FLAVOR EXTRACT,4 OZ,6,null,DOLLAR ITEMS,DOLLAR BAKING,IMITATION VANILLA FLAVOR EXTRACT,5210000869,5210010002,4 OZ,6,INCLUDE
902320,THAI KITCHEN,PREPARED FOODS,SPECIALTY FOODS-ASIAN/THAI FOOD,73762802525,73762802525,STIR FRY RICE NOODLES,14OZ,12,THAI KITCHEN,PREPARED FOODS,SPECIALTY FOODS-ASIAN/THAI FOOD,STIR FRY RICE NOODLES,3762802525,3762802525,14OZ,12,INCLUDE
